,Algorithm,n,time
257,SHAP-IQ,17,3.259014129638672
258,STAR-SHAP (5-STAR),18,4.783323049545288
259,Kernel SHAP,18,5.543923854827881
260,Unbiased Kernel SHAP,18,3.3226451873779297
261,SHAP-IQ,18,3.297034740447998
262,STAR-SHAP (5-STAR),19,4.798854112625122
263,Kernel SHAP,19,5.575635194778442
264,Unbiased Kernel SHAP,19,3.3359310626983643
265,SHAP-IQ,19,3.2939279079437256
266,STAR-SHAP (5-STAR),20,4.852884292602539
267,Kernel SHAP,20,5.5792882442474365
268,Unbiased Kernel SHAP,20,3.319694995880127
269,SHAP-IQ,20,3.2745909690856934
270,STAR-SHAP (5-STAR),70,4.991813898086548
271,Kernel SHAP,70,6.538235902786255
272,Unbiased Kernel SHAP,70,3.7101027965545654
273,SHAP-IQ,70,3.660905599594116
274,STAR-SHAP (5-STAR),120,5.126016616821289
275,Kernel SHAP,120,14.007495403289795
276,Unbiased Kernel SHAP,120,4.050051689147949
277,SHAP-IQ,120,3.9793193340301514
278,STAR-SHAP (5-STAR),170,5.25827693939209
279,Kernel SHAP,170,20.08930802345276
280,Unbiased Kernel SHAP,170,4.533684968948364
281,SHAP-IQ,170,4.46699070930481
282,STAR-SHAP (5-STAR),220,5.346400499343872
283,Kernel SHAP,220,28.313605546951294
284,Unbiased Kernel SHAP,220,4.953583717346191
285,SHAP-IQ,220,4.928874731063843
286,STAR-SHAP (5-STAR),270,5.440009593963623
287,Kernel SHAP,270,31.261337757110596
288,Unbiased Kernel SHAP,270,5.469370126724243
289,SHAP-IQ,270,5.453579425811768
290,STAR-SHAP (5-STAR),320,5.598197937011719
291,Kernel SHAP,320,44.62215757369995
292,Unbiased Kernel SHAP,320,6.054757833480835
293,SHAP-IQ,320,6.020469427108765
294,STAR-SHAP (5-STAR),370,5.713134527206421
295,Kernel SHAP,370,43.223220348358154
296,Unbiased Kernel SHAP,370,6.643662929534912
297,SHAP-IQ,370,6.646032810211182
298,STAR-SHAP (5-STAR),420,5.809262752532959
299,Kernel SHAP,420,37.731255292892456
300,Unbiased Kernel SHAP,420,7.333544731140137
301,SHAP-IQ,420,7.274734020233154
302,STAR-SHAP (5-STAR),470,5.915000915527344
303,Kernel SHAP,470,36.519237995147705
304,Unbiased Kernel SHAP,470,7.980068683624268
305,SHAP-IQ,470,7.947905540466309
306,STAR-SHAP (5-STAR),520,6.017807483673096
307,Kernel SHAP,520,50.77759552001953
308,Unbiased Kernel SHAP,520,8.799844980239868
309,SHAP-IQ,520,8.686047315597534
310,STAR-SHAP (5-STAR),570,6.100288152694702
311,Kernel SHAP,570,48.46497678756714
312,Unbiased Kernel SHAP,570,9.555408954620361
313,SHAP-IQ,570,9.493754863739014
314,STAR-SHAP (5-STAR),620,6.166675567626953
315,Kernel SHAP,620,45.115596532821655
316,Unbiased Kernel SHAP,620,10.4147310256958
317,SHAP-IQ,620,10.391595125198364
318,STAR-SHAP (5-STAR),670,6.2845704555511475
319,Kernel SHAP,670,52.15455722808838
320,Unbiased Kernel SHAP,670,11.287128448486328
321,SHAP-IQ,670,11.232226133346558
322,STAR-SHAP (5-STAR),720,6.397086143493652
323,Kernel SHAP,720,59.553744077682495
324,Unbiased Kernel SHAP,720,12.202601671218872
325,SHAP-IQ,720,12.124953031539917
326,STAR-SHAP (5-STAR),770,6.496195077896118
327,Kernel SHAP,770,48.12298059463501
328,Unbiased Kernel SHAP,770,13.119715690612793
329,SHAP-IQ,770,13.019784927368164
