,Algorithm,n,time,max fs size,mean MSE,budget,r2
792,SHAP-IQ,100,2.033031702041626,4,,952.0,0.680731244646269
793,SHAP-IQ,100,2.0391201972961426,4,,952.0,0.6387668959636212
794,SHAP-IQ,100,2.0346038341522217,4,,952.0,0.6838277453786605
795,SHAP-IQ,100,2.029721260070801,4,,952.0,0.6462159893539527
796,SHAP-IQ,100,2.0357019901275635,4,,952.0,0.6789049256677535
797,SHAP-IQ,100,2.0409116744995117,4,,952.0,0.6849950404729657
798,SHAP-IQ,100,2.0389416217803955,4,,952.0,0.678058100606604
799,SHAP-IQ,100,2.034792900085449,4,,952.0,0.6890050611672289
800,SHAP-IQ,100,2.0502312183380127,4,,952.0,0.6684487499073999
801,SHAP-IQ,100,2.0362324714660645,4,,952.0,0.6581624977986276
802,SHAP-IQ,100,2.0387744903564453,4,,952.0,0.6769857704310348
803,SHAP-IQ,100,1.9965288639068604,4,,1057.0,0.6763239638496945
804,SHAP-IQ,100,1.995354413986206,4,,1057.0,0.6758031307781691
805,SHAP-IQ,100,1.9967710971832275,4,,1057.0,0.7215436493714045
806,SHAP-IQ,100,1.9957530498504639,4,,1057.0,0.6983111562170325
807,SHAP-IQ,100,1.9925274848937988,4,,1057.0,0.7046440107135776
808,SHAP-IQ,100,1.996814250946045,4,,1057.0,0.7079926798381053
809,SHAP-IQ,100,1.9969062805175781,4,,1057.0,0.7130964481874545
810,SHAP-IQ,100,1.9883859157562256,4,,1057.0,0.702416743012684
811,SHAP-IQ,100,1.9893434047698975,4,,1057.0,0.6983742659821683
812,SHAP-IQ,100,1.9993891716003418,4,,1057.0,0.6694392306826589
813,SHAP-IQ,100,2.008192539215088,4,,1057.0,0.6698497494844519
814,SHAP-IQ,100,1.9884305000305176,4,,1057.0,0.699199062092002
815,SHAP-IQ,100,1.9914023876190186,4,,1057.0,0.6931102700410072
816,SHAP-IQ,100,1.9945552349090576,4,,1057.0,0.672892445232881
817,SHAP-IQ,100,2.002826452255249,4,,1057.0,0.6970798001282136
818,SHAP-IQ,100,2.0027875900268555,4,,1057.0,0.6887674168927709
819,SHAP-IQ,100,2.0046417713165283,4,,1057.0,0.6910505260055344
820,SHAP-IQ,100,1.9966261386871338,4,,1057.0,0.689481540489215
821,SHAP-IQ,100,2.002450466156006,4,,1057.0,0.7011092776231974
822,SHAP-IQ,100,1.9880757331848145,4,,1057.0,0.6775552984583948
823,SHAP-IQ,100,2.167797327041626,4,,1162.0,0.7011748365621169
824,SHAP-IQ,100,2.168073892593384,4,,1162.0,0.7249159965244711
825,SHAP-IQ,100,2.187269449234009,4,,1162.0,0.7428921145427261
826,SHAP-IQ,100,2.1959025859832764,4,,1162.0,0.7227806801701888
827,SHAP-IQ,100,2.1838607788085938,4,,1162.0,0.7160628786167393
828,SHAP-IQ,100,2.1722893714904785,4,,1162.0,0.7158966682667651
829,SHAP-IQ,100,2.1753296852111816,4,,1162.0,0.7233463035514816
830,SHAP-IQ,100,2.1756389141082764,4,,1162.0,0.7340665709241647
831,SHAP-IQ,100,2.181918144226074,4,,1162.0,0.7480214461919225
832,SHAP-IQ,100,2.173936605453491,4,,1162.0,0.7006311756685439
833,SHAP-IQ,100,2.18172550201416,4,,1162.0,0.7284206825893234
834,SHAP-IQ,100,2.172060012817383,4,,1162.0,0.7227289882282673
835,SHAP-IQ,100,2.177236318588257,4,,1162.0,0.734534006828738
836,SHAP-IQ,100,2.1894941329956055,4,,1162.0,0.7168690565905986
837,SHAP-IQ,100,2.1845319271087646,4,,1162.0,0.7208428072190991
838,SHAP-IQ,100,2.1859025955200195,4,,1162.0,0.7371016175359093
839,SHAP-IQ,100,2.1971592903137207,4,,1162.0,0.7157406961150257
840,SHAP-IQ,100,2.20450496673584,4,,1162.0,0.7140647932414825
841,SHAP-IQ,100,2.189211130142212,4,,1162.0,0.7473203533204271
842,SHAP-IQ,100,2.189267635345459,4,,1162.0,0.7022639666501593
843,SHAP-IQ,100,2.3818929195404053,4,,1266.0,0.7309299527436279
844,SHAP-IQ,100,2.382251262664795,4,,1266.0,0.7492260217006756
845,SHAP-IQ,100,2.3617730140686035,4,,1266.0,0.7231015117798087
846,SHAP-IQ,100,2.356846570968628,4,,1266.0,0.7531078584143875
847,SHAP-IQ,100,2.365340232849121,4,,1266.0,0.7647251427059977
848,SHAP-IQ,100,2.3695390224456787,4,,1266.0,0.7403333790745198
849,SHAP-IQ,100,2.3836236000061035,4,,1266.0,0.714068770351127
850,SHAP-IQ,100,2.3727447986602783,4,,1266.0,0.761072167284208
851,SHAP-IQ,100,2.362149238586426,4,,1266.0,0.7847391078056067
852,SHAP-IQ,100,2.3611156940460205,4,,1266.0,0.7348575335366405
853,SHAP-IQ,100,2.3679935932159424,4,,1266.0,0.7466035393276873
854,SHAP-IQ,100,2.364563465118408,4,,1266.0,0.7507074564860177
855,SHAP-IQ,100,2.372507333755493,4,,1266.0,0.7623570191212852
856,SHAP-IQ,100,2.352294683456421,4,,1266.0,0.7924281875699211
857,SHAP-IQ,100,2.3529093265533447,4,,1266.0,0.7458968086395088
858,SHAP-IQ,100,2.3563621044158936,4,,1266.0,0.7616699634049806
859,SHAP-IQ,100,2.370920181274414,4,,1266.0,0.7610881032599902
860,SHAP-IQ,100,2.3589789867401123,4,,1266.0,0.7552263397739867
861,SHAP-IQ,100,2.3794898986816406,4,,1266.0,0.7609399615203882
862,SHAP-IQ,100,2.374296188354492,4,,1266.0,0.7429821577696558
863,SHAP-IQ,100,2.5472679138183594,4,,1371.0,0.7693568582986301
864,SHAP-IQ,100,2.5388917922973633,4,,1371.0,0.7764950539153085
865,SHAP-IQ,100,2.5481481552124023,4,,1371.0,0.7780898010636491
866,SHAP-IQ,100,2.538146495819092,4,,1371.0,0.773355885700262
867,SHAP-IQ,100,2.5536818504333496,4,,1371.0,0.7771968169712447
868,SHAP-IQ,100,2.551623582839966,4,,1371.0,0.7654065548876301
869,SHAP-IQ,100,2.543464422225952,4,,1371.0,0.7656845058014426
870,SHAP-IQ,100,2.543558359146118,4,,1371.0,0.7798100798079164
871,SHAP-IQ,100,2.5386526584625244,4,,1371.0,0.7889268941146379
872,SHAP-IQ,100,2.546760082244873,4,,1371.0,0.7840482866850764
873,SHAP-IQ,100,2.543761968612671,4,,1371.0,0.7716726874540842
874,SHAP-IQ,100,2.536524772644043,4,,1371.0,0.7526668852771162
875,SHAP-IQ,100,2.542431116104126,4,,1371.0,0.7850851979582083
876,SHAP-IQ,100,2.5426747798919678,4,,1371.0,0.7852158856941152
877,SHAP-IQ,100,2.537825107574463,4,,1371.0,0.7393580479956352
878,SHAP-IQ,100,2.537919282913208,4,,1371.0,0.7732432377308732
879,SHAP-IQ,100,2.5707736015319824,4,,1371.0,0.765355714520505
880,SHAP-IQ,100,2.5438034534454346,4,,1371.0,0.7734764316382691
881,SHAP-IQ,100,2.5449681282043457,4,,1371.0,0.7475383215398298
882,SHAP-IQ,100,2.5461931228637695,4,,1371.0,0.7800503345252547
883,SHAP-IQ,100,2.7278077602386475,4,,1476.0,0.7879875136332626
884,SHAP-IQ,100,2.7327449321746826,4,,1476.0,0.7904311814811392
885,SHAP-IQ,100,2.7221035957336426,4,,1476.0,0.8230857026512948
886,SHAP-IQ,100,2.7280478477478027,4,,1476.0,0.8003399478129763
887,SHAP-IQ,100,2.719271421432495,4,,1476.0,0.7920407069826079
888,SHAP-IQ,100,2.7221145629882812,4,,1476.0,0.767509721285657
889,SHAP-IQ,100,2.7183923721313477,4,,1476.0,0.8066269663473544
890,SHAP-IQ,100,2.7192060947418213,4,,1476.0,0.7539308878770148
891,SHAP-IQ,100,2.7253642082214355,4,,1476.0,0.7804206031465073
892,SHAP-IQ,100,2.713503122329712,4,,1476.0,0.7969350681621695
893,SHAP-IQ,100,2.7215945720672607,4,,1476.0,0.7905935055851278
894,SHAP-IQ,100,2.7266592979431152,4,,1476.0,0.8030496206326213
895,SHAP-IQ,100,2.7274467945098877,4,,1476.0,0.7939595589902119
896,SHAP-IQ,100,2.7271127700805664,4,,1476.0,0.793110666550766
897,SHAP-IQ,100,2.722696542739868,4,,1476.0,0.8070823279221542
898,SHAP-IQ,100,2.7212719917297363,4,,1476.0,0.7837667084133075
899,SHAP-IQ,100,2.724724054336548,4,,1476.0,0.7861846626059511
900,SHAP-IQ,100,2.7264556884765625,4,,1476.0,0.7923388561016361
901,SHAP-IQ,100,2.727696657180786,4,,1476.0,0.7878899602957968
902,SHAP-IQ,100,2.727238655090332,4,,1476.0,0.7950805423265604
903,SHAP-IQ,100,2.915883779525757,4,,1581.0,0.7971990009377482
904,SHAP-IQ,100,2.917388916015625,4,,1581.0,0.8210284181800522
905,SHAP-IQ,100,2.908400774002075,4,,1581.0,0.8122200742257679
906,SHAP-IQ,100,2.914469003677368,4,,1581.0,0.7890715498303147
907,SHAP-IQ,100,2.9085798263549805,4,,1581.0,0.8320075300581098
908,SHAP-IQ,100,2.8988282680511475,4,,1581.0,0.795041297292102
909,SHAP-IQ,100,2.9046413898468018,4,,1581.0,0.81348462894494
910,SHAP-IQ,100,2.902996063232422,4,,1581.0,0.7951094190570726
911,SHAP-IQ,100,2.906073570251465,4,,1581.0,0.8052115946965519
912,SHAP-IQ,100,2.912329912185669,4,,1581.0,0.8178235317588746
913,SHAP-IQ,100,2.904982805252075,4,,1581.0,0.8067909695259279
914,SHAP-IQ,100,2.9068214893341064,4,,1581.0,0.8163929023710688
915,SHAP-IQ,100,2.91093373298645,4,,1581.0,0.8117459870068509
916,SHAP-IQ,100,2.9084224700927734,4,,1581.0,0.8041433869142671
917,SHAP-IQ,100,2.9038941860198975,4,,1581.0,0.8097019072486538
918,SHAP-IQ,100,2.9208121299743652,4,,1581.0,0.8124154623512891
919,SHAP-IQ,100,2.898024082183838,4,,1581.0,0.8237624717108354
920,SHAP-IQ,100,2.910991907119751,4,,1581.0,0.8079307392694083
921,SHAP-IQ,100,2.913645029067993,4,,1581.0,0.7864909016180359
922,SHAP-IQ,100,2.9058661460876465,4,,1581.0,0.7867293048126596
923,SHAP-IQ,100,3.0887155532836914,4,,1685.0,0.8278827845480208
924,SHAP-IQ,100,3.0786497592926025,4,,1685.0,0.8222729993428297
925,SHAP-IQ,100,3.0912363529205322,4,,1685.0,0.8219577233247706
926,SHAP-IQ,100,3.0831475257873535,4,,1685.0,0.8192884529182982
927,SHAP-IQ,100,3.091733455657959,4,,1685.0,0.8167198205620226
928,SHAP-IQ,100,3.087075710296631,4,,1685.0,0.8169904231420189
929,SHAP-IQ,100,3.0826826095581055,4,,1685.0,0.8174288347676928
930,SHAP-IQ,100,3.095662832260132,4,,1685.0,0.8281911409548227
931,SHAP-IQ,100,3.0850722789764404,4,,1685.0,0.8338564418171673
932,SHAP-IQ,100,3.093367576599121,4,,1685.0,0.8090009457449518
933,SHAP-IQ,100,3.093958854675293,4,,1685.0,0.8128768174713297
934,SHAP-IQ,100,3.0966203212738037,4,,1685.0,0.8232909152679929
935,SHAP-IQ,100,3.087751865386963,4,,1685.0,0.8221475852804642
936,SHAP-IQ,100,3.0835464000701904,4,,1685.0,0.8310893780498274
937,SHAP-IQ,100,3.080828905105591,4,,1685.0,0.8114509131446634
