,C,algorithm,alpha,base_model_class,base_model_params,batch_size,dataset,fit time,fs_length,fs_type,gamma,kernel,learning_rate,max_bins,max_depth,max_rounds,max_theta,min_samples_leaf,n_iter,norm,rademacher,regularization,sigma,test R2,train R2,train pred time
10,,RWRelu 4-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.1},50.0,diabetes,9.100480794906616,4.0,any,,,,,,,,,5000.0,1964.2760447564483,123.98994237545028,1e-08,,0.3498537625284016,0.6069171871957522,1.101041316986084
11,,RWSign 5-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,diabetes,8.609355211257935,5.0,any,,,,,,,,,5000.0,517.1212481542909,128.82208609805997,1e-07,,0.3327336846994196,0.6149653446900837,0.9798078536987304
12,,RWRelu 5-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,diabetes,8.802740097045898,5.0,any,,,,,,,,,5000.0,151.06342779693807,39.396710229290974,1e-06,,0.3343944383120059,0.6180352332221513,1.0747783184051514
13,,"RWSign [1, 2, 3, 4, 5]-STAR",,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,diabetes,8.2964768409729,"[1, 2, 3, 4, 5]",any,,,,,,,,,5000.0,47.271808334409386,0.7171555367713195,1e-05,,0.3988813592331121,0.5932407938238763,0.974900722503662
14,,"RWRelu [1, 2, 3, 4, 5]-STAR",,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,diabetes,8.534712076187134,"[1, 2, 3, 4, 5]",any,,,,,,,,,5000.0,9.850389482627142,1.3509113756912656,0.0001,,0.2980071883779617,0.6218001603027644,1.0758697986602783
15,,RWSign,,,,50.0,california housing,4.652145862579346,,,,,,,,,0.1,,5000.0,2994.92011136496,1890.887026642732,1e-09,,0.7108724741105319,0.733247685794027,1.523855209350586
16,,RWRelu,,,,50.0,california housing,6.329814910888672,,,,,,,,,0.1,,5000.0,2893.846346466761,1605308.5234173224,1e-09,,0.7337137875743232,0.751180638755832,3.333168029785156
17,,RWStumps,,,,50.0,california housing,4.671687364578247,,,0.01,,,,,,,,5000.0,2378.402807703289,106.9009745445022,1e-09,1.0,0.7681270908197333,0.7962870706902043,1.899794340133667
18,,RWSign 1-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,california housing,50.57224154472351,1,any,,,,,,,,,5000.0,0.0429781163331282,0.3244086291141243,0.01,,0.3539347496812196,0.3617360383281699,6.102850914001465
19,,RWRelu 1-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,california housing,58.477612018585205,1,any,,,,,,,,,5000.0,0.9378339106343822,1.9324533335205007,0.0001,,0.6617721881360223,0.6853088390137285,10.264543056488035
20,,RWSign 2-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.1},50.0,california housing,27.49647426605225,2,any,,,,,,,,,5000.0,448.7560094090149,1.872359438974588,1e-09,,0.6958409424336498,0.7243536377011466,8.594871044158936
21,,RWRelu 2-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,california housing,32.70191478729248,2,any,,,,,,,,,5000.0,271.0648481542644,32671.75502203288,1e-08,,0.730787460363586,0.7469168519974687,9.977806806564333
22,,RWSign 3-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.1},50.0,california housing,22.192075967788696,3,any,,,,,,,,,5000.0,2073.565422465274,16.96584480046939,1e-09,,0.7204143462522465,0.7511203221341565,8.768310308456421
23,,RWRelu 3-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,california housing,27.94184899330139,3,any,,,,,,,,,5000.0,1656.448484371347,659648.8976573525,1e-09,,0.7435850152737921,0.760118827618824,10.304838418960571
24,,RWSign 4-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.1},50.0,california housing,22.00031971931457,4,any,,,,,,,,,5000.0,3262.779876008912,33.07911879005313,1e-09,,0.7082871092527958,0.7260710856807382,8.903061866760254
25,,RWRelu 4-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,california housing,27.89738154411316,4,any,,,,,,,,,5000.0,2086.66060420394,886428.0016126613,1e-09,,0.7369075007836597,0.7531109459097738,10.917776107788086
26,,RWSign 5-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.5},50.0,california housing,21.997365713119507,5,any,,,,,,,,,5000.0,2520.184374192843,599.748651872537,1e-09,,0.7054151755323644,0.7234334445742165,7.9755401611328125
27,,RWRelu 5-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,california housing,30.285759210586548,5,any,,,,,,,,,5000.0,2265.427143237791,1404342.3087389693,1e-09,,0.7291666402444611,0.749159502267559,11.499835729599
28,,"RWSign [1, 2, 3, 4, 5]-STAR",,<class 'Model.RWSign'>,{'max_theta': 0.5},50.0,california housing,18.04749059677124,"[1, 2, 3, 4, 5]",any,,,,,,,,,5000.0,2149.0906771386494,88.380190680157,1e-09,,0.6977143798529557,0.7178224987833719,7.388726234436035
